#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_3173      -          K19540               -            1.7e-61  207.1  27.6   2.5e-61  206.5  27.6   1.1   1   0   0   1   1   0   1 # 3674042 # 3675511 # -1 # ID=1_3173;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.640
LR130759.1_1742      -          K19540               -            1.7e-30  104.9  38.9     2e-30  104.7  38.9   1.0   1   0   0   1   1   0   1 # 1995631 # 1996956 # 1 # ID=1_1742;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
LR130759.1_1008      -          K19540               -            2.2e-30  104.5  37.7     3e-30  104.1  37.7   1.0   1   0   0   1   1   0   1 # 1112738 # 1114291 # -1 # ID=1_1008;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.585
LR130759.1_519       -          K19540               -            2.2e-27   94.7  27.5   2.8e-27   94.3  27.5   1.0   1   0   0   1   1   0   1 # 579632 # 581089 # -1 # ID=1_519;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.627
LR130759.1_2373      -          K19540               -            3.4e-27   94.0  28.2   4.6e-27   93.6  28.2   1.1   1   0   0   1   1   0   1 # 2718705 # 2720354 # 1 # ID=1_2373;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.629
LR130759.1_3132      -          K19540               -            4.9e-27   93.5  30.3   6.7e-27   93.1  30.3   1.1   1   0   0   1   1   0   1 # 3633553 # 3635271 # -1 # ID=1_3132;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.647
LR130759.1_2353      -          K19540               -            7.3e-26   89.7  16.7   9.5e-26   89.3  16.7   1.0   1   0   0   1   1   0   1 # 2690610 # 2691803 # 1 # ID=1_2353;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.641
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K19540.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K19540.hmm.total.hmmsearch_result.txt --domT 358.83 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K19540.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:35:53 2023
# [ok]
