#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_1154      -          K07317               -            4.8e-63  212.9   0.0   6.5e-63  212.4   0.0   1.0   1   0   0   1   1   1   1 # 1344229 # 1345815 # -1 # ID=1_1154;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.656
LR130759.1_2149      -          K07317               -              0.022   12.3   0.0     0.027   12.0   0.0   1.1   1   0   0   1   1   0   0 # 2426909 # 2427577 # -1 # ID=1_2149;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.589
LR130759.1_2347      -          K07317               -              0.034   11.7   0.0     0.043   11.4   0.0   1.1   1   0   0   1   1   0   0 # 2681557 # 2682201 # 1 # ID=1_2347;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.617
LR130759.1_3891      -          K07317               -               0.13    9.7   0.0       1.2    6.6   0.0   1.9   2   0   0   2   2   0   0 # 4529210 # 4529956 # 1 # ID=1_3891;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
LR130759.1_2019      -          K07317               -               0.14    9.7   0.0      0.19    9.2   0.0   1.1   1   0   0   1   1   0   0 # 2276420 # 2277244 # -1 # ID=1_2019;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.630
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K07317.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K07317.hmm.total.hmmsearch_result.txt --domT 147.50 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K07317.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:26:06 2023
# [ok]
